id,name,gender,age,traits,status,interest
274,John Williams,male,47,"meticulous, empathetic, optimistic, ambitious, caring",engineer," thriller movies,  classic movies,  action movies,  romantic movies"
275,Linda Miller,female,20,independent,designer," family-friendly movies,  comedy movies,  documentaries,  classic movies,  thriller movies"
276,John Smith,male,34,"empathetic, practical, optimistic",teacher," comedy movies,  action movies,  classic movies"
277,Linda Johnson,female,32,"independent, patient, adventurous, analytical, ambitious",student, family-friendly movies
278,Michael Davis,male,70,"creative, outgoing, energetic",lawyer," sci-fi movies,  comedy movies"
279,David Davis,female,67,"practical, introspective, meticulous, patient",writer, sci-fi movies
280,James Williams,male,70,independent,photographer," comedy movies,  romantic movies,  classic movies,  sci-fi movies,  documentaries"
281,Emily Garcia,female,49,"adventurous, analytical",writer," comedy movies,  romantic movies,  family-friendly movies"
282,John Davis,male,38,"optimistic, ambitious",lawyer, thriller movies
283,Michael Johnson,female,27,"caring, ambitious",retired," classic movies,  action movies"
284,Mary Johnson,male,21,"outgoing, analytical, ambitious",designer," action movies,  thriller movies,  sci-fi movies,  comedy movies"
285,James Williams,female,21,"fun-loving, creative, empathetic, ambitious",farmer, romantic movies
286,John Jones,male,43,caring,musician," family-friendly movies,  thriller movies,  comedy movies"
287,David Jones,female,66,"empathetic, introspective, creative, meticulous, energetic",actor," documentaries,  sci-fi movies,  thriller movies,  comedy movies,  romantic movies"
288,John Jones,male,69,"optimistic, caring, energetic, adventurous, analytical",photographer," thriller movies,  romantic movies,  action movies,  documentaries,  sci-fi movies"
289,Jane Brown,female,53,fun-loving,writer," classic movies,  romantic movies,  action movies,  thriller movies"
290,James Williams,male,49,"caring, practical",lawyer," comedy movies,  thriller movies,  classic movies,  family-friendly movies"
291,Linda Taylor,female,69,"optimistic, fun-loving",farmer," documentaries,  action movies,  classic movies"
292,Sarah Martinez,male,33,creative,actor," romantic movies,  classic movies,  action movies"
293,Sarah Williams,female,54,"creative, adventurous",artist," romantic movies,  action movies"
294,Sarah Davis,male,37,"meticulous, practical, patient, independent, compassionate",musician," classic movies,  sci-fi movies,  comedy movies,  documentaries"
295,Michael Garcia,female,23,"empathetic, compassionate",writer," romantic movies,  documentaries,  action movies,  classic movies,  family-friendly movies"
296,Mary Smith,male,53,"analytical, independent, ambitious",teacher," action movies,  documentaries,  thriller movies,  classic movies"
297,John Smith,female,47,"ambitious, compassionate, optimistic, outgoing, introspective",musician," family-friendly movies,  sci-fi movies,  documentaries,  romantic movies,  comedy movies"
298,Michael Miller,male,39,"optimistic, caring, outgoing",farmer," classic movies,  romantic movies,  comedy movies,  family-friendly movies,  sci-fi movies"
299,David Taylor,female,42,"patient, creative",lawyer," classic movies,  thriller movies"
300,Jane Taylor,male,32,"patient, introspective, practical, outgoing",farmer," romantic movies,  classic movies,  action movies,  documentaries,  comedy movies"
301,David Taylor,female,58,analytical,engineer," documentaries,  sci-fi movies,  action movies,  comedy movies"
302,Linda Taylor,male,40,"introspective, caring, empathetic",musician," thriller movies,  action movies,  documentaries,  romantic movies,  classic movies"
303,Robert Miller,female,48,patient,engineer," romantic movies,  thriller movies,  classic movies"
304,John Smith,male,45,"analytical, adventurous, caring, independent",entrepreneur, sci-fi movies
305,Emily Johnson,female,46,"caring, fun-loving, introspective",farmer, family-friendly movies
306,John Johnson,male,69,"patient, fun-loving",artist," thriller movies,  family-friendly movies,  romantic movies,  action movies,  sci-fi movies"
307,Emily Miller,female,49,"ambitious, empathetic, analytical",artist," romantic movies,  classic movies,  comedy movies,  documentaries,  thriller movies"
308,Mary Jones,male,22,"energetic, fun-loving",teacher, comedy movies
309,Jane Garcia,female,46,energetic,student," comedy movies,  sci-fi movies,  documentaries,  romantic movies"
310,Michael Davis,male,63,"adventurous, introspective, energetic",engineer," sci-fi movies,  classic movies,  romantic movies,  documentaries,  family-friendly movies"
311,James Williams,female,28,"caring, adventurous, compassionate",doctor," documentaries,  action movies,  family-friendly movies,  thriller movies,  sci-fi movies"
312,Emily Johnson,male,63,analytical,musician," sci-fi movies,  romantic movies,  documentaries,  comedy movies"
313,Robert Brown,female,29,meticulous,scientist, action movies
314,David Smith,male,30,"fun-loving, caring, optimistic, creative, adventurous",scientist," thriller movies,  action movies,  classic movies"
315,David Jones,female,50,"empathetic, patient, meticulous",retired," classic movies,  family-friendly movies"
316,Jane Smith,male,24,"empathetic, analytical",doctor," classic movies,  comedy movies,  action movies,  sci-fi movies"
317,Mary Jones,female,49,"fun-loving, introspective, practical",writer," action movies,  romantic movies,  sci-fi movies,  classic movies,  thriller movies"
318,Mary Taylor,male,65,caring,retired," documentaries,  sci-fi movies"
319,James Miller,female,70,"caring, fun-loving, compassionate",scientist," romantic movies,  classic movies,  family-friendly movies,  action movies,  comedy movies"
320,Sarah Davis,male,47,"independent, caring, creative, optimistic",nurse," family-friendly movies,  documentaries,  sci-fi movies,  classic movies,  thriller movies"
321,Mary Davis,female,32,practical,lawyer," sci-fi movies,  romantic movies,  documentaries,  family-friendly movies"
322,James Martinez,male,29,"meticulous, adventurous",farmer," documentaries,  action movies,  romantic movies"
323,John Brown,female,56,outgoing,teacher," action movies,  romantic movies,  family-friendly movies,  documentaries,  sci-fi movies"
324,David Brown,male,55,"adventurous, introspective, meticulous, ambitious",scientist, family-friendly movies
325,Mary Johnson,female,33,"patient, ambitious",teacher," family-friendly movies,  comedy movies,  thriller movies"
326,Michael Miller,male,45,independent,musician," action movies,  family-friendly movies"
327,Michael Davis,female,25,"caring, ambitious, adventurous, empathetic, introspective",nurse," action movies,  family-friendly movies,  sci-fi movies,  classic movies"
328,Sarah Brown,male,50,adventurous,retired, romantic movies
329,Linda Miller,female,36,"caring, ambitious, patient, empathetic",doctor," family-friendly movies,  comedy movies,  action movies,  sci-fi movies"
330,John Jones,male,26,"optimistic, patient, outgoing, practical, introspective",photographer," romantic movies,  sci-fi movies,  classic movies,  family-friendly movies,  action movies"
331,Sarah Davis,female,38,"energetic, ambitious",artist," action movies,  sci-fi movies,  comedy movies,  classic movies,  romantic movies"
332,Jane Smith,male,46,"energetic, practical, ambitious, compassionate",student," thriller movies,  documentaries,  romantic movies,  action movies"
333,James Johnson,female,65,outgoing,retired," romantic movies,  classic movies,  comedy movies,  sci-fi movies,  family-friendly movies"
334,Linda Garcia,male,20,energetic,farmer," documentaries,  comedy movies,  classic movies,  sci-fi movies,  family-friendly movies"
335,Linda Taylor,female,47,energetic,artist," action movies,  classic movies,  thriller movies"
336,Emily Williams,male,43,"adventurous, compassionate, energetic, practical, fun-loving",nurse," classic movies,  romantic movies,  thriller movies,  sci-fi movies,  documentaries"
337,Robert Martinez,female,60,"outgoing, patient",engineer," classic movies,  comedy movies"
338,James Taylor,male,49,"independent, practical, compassionate",nurse, family-friendly movies
339,Jane Garcia,female,45,analytical,actor," romantic movies,  classic movies,  sci-fi movies,  comedy movies,  family-friendly movies"
340,Jane Brown,male,32,"analytical, independent, fun-loving, optimistic, meticulous",photographer," thriller movies,  classic movies,  family-friendly movies"
341,Emily Smith,female,64,analytical,actor," classic movies,  romantic movies"
342,Robert Martinez,male,58,"outgoing, independent, ambitious",teacher," action movies,  classic movies,  documentaries,  comedy movies"
343,Linda Garcia,female,26,"ambitious, compassionate, independent, creative, practical",student, sci-fi movies
344,Michael Jones,male,67,optimistic,doctor," sci-fi movies,  classic movies,  family-friendly movies,  documentaries,  thriller movies"
345,James Garcia,female,62,"compassionate, independent",farmer," classic movies,  action movies,  comedy movies,  sci-fi movies"
346,Michael Johnson,male,66,"outgoing, practical, fun-loving, optimistic, empathetic",nurse," documentaries,  action movies,  family-friendly movies"
347,Emily Garcia,female,24,"ambitious, fun-loving",actor, action movies
348,Jane Miller,male,43,analytical,doctor," documentaries,  thriller movies,  sci-fi movies,  classic movies,  comedy movies"
349,Linda Taylor,female,60,"caring, creative, outgoing, patient, practical",farmer," comedy movies,  romantic movies"
350,John Williams,male,36,"analytical, fun-loving, energetic, outgoing, patient",farmer," action movies,  comedy movies"
351,John Williams,female,34,"patient, caring, empathetic",actor," documentaries,  action movies,  comedy movies,  classic movies,  family-friendly movies"
352,Sarah Miller,male,55,"empathetic, introspective",student," action movies,  classic movies,  romantic movies,  thriller movies,  sci-fi movies"
353,Linda Johnson,female,24,"fun-loving, caring, creative, meticulous, analytical",teacher," documentaries,  comedy movies"
354,Linda Garcia,male,42,outgoing,writer," family-friendly movies,  sci-fi movies,  thriller movies"
355,Mary Jones,female,70,"compassionate, independent, practical, patient, analytical",artist," action movies,  thriller movies,  comedy movies,  sci-fi movies,  romantic movies"
356,Sarah Davis,male,31,introspective,nurse," comedy movies,  romantic movies,  thriller movies"
357,Robert Williams,female,62,empathetic,teacher," action movies,  family-friendly movies,  thriller movies"
358,James Davis,male,52,creative,farmer, classic movies
359,Sarah Johnson,female,26,"analytical, creative, optimistic, ambitious, adventurous",doctor," action movies,  documentaries,  family-friendly movies,  classic movies,  romantic movies"
360,Emily Williams,male,64,"caring, creative",farmer," romantic movies,  thriller movies,  sci-fi movies,  comedy movies,  action movies"
361,Emily Jones,female,38,"outgoing, empathetic",lawyer," comedy movies,  documentaries"
362,Emily Miller,male,52,"fun-loving, empathetic, meticulous, analytical, creative",musician," documentaries,  action movies,  classic movies"
363,Mary Williams,female,67,"energetic, optimistic, compassionate, analytical, fun-loving",retired," classic movies,  action movies,  sci-fi movies"
364,Jane Davis,male,43,patient,musician, thriller movies
365,Jane Brown,female,47,"ambitious, fun-loving, energetic, optimistic, caring",actor," documentaries,  classic movies,  family-friendly movies"
366,David Smith,male,36,"fun-loving, analytical, empathetic",doctor," sci-fi movies,  action movies,  comedy movies,  documentaries"
367,Jane Miller,female,39,meticulous,farmer," action movies,  thriller movies,  comedy movies"
368,Robert Jones,male,57,"empathetic, independent",nurse, romantic movies
369,Emily Johnson,female,57,practical,lawyer," romantic movies,  documentaries"
370,Robert Davis,male,48,"empathetic, independent, introspective, practical",farmer," comedy movies,  family-friendly movies"
371,Mary Taylor,female,35,"meticulous, caring, ambitious, independent",photographer," romantic movies,  documentaries"
372,Jane Brown,male,32,"independent, energetic, fun-loving",retired," comedy movies,  classic movies"
373,Linda Miller,female,59,"adventurous, empathetic, outgoing",lawyer," romantic movies,  action movies,  thriller movies,  documentaries"
374,Linda Martinez,male,41,"fun-loving, outgoing, adventurous, patient",retired, comedy movies
375,Emily Jones,female,41,"empathetic, outgoing, energetic, adventurous",scientist, romantic movies
376,Michael Smith,male,57,empathetic,nurse, romantic movies
377,Mary Martinez,female,22,"adventurous, ambitious, compassionate, caring, analytical",actor," thriller movies,  action movies,  romantic movies"
378,John Smith,male,59,"caring, energetic, introspective, fun-loving",writer," comedy movies,  romantic movies"
379,James Brown,female,27,adventurous,farmer," classic movies,  family-friendly movies"
380,Michael Davis,male,23,"creative, practical, empathetic, ambitious",musician," documentaries,  romantic movies,  comedy movies,  sci-fi movies,  family-friendly movies"
381,John Taylor,female,20,"creative, fun-loving, compassionate, adventurous, practical",photographer," comedy movies,  sci-fi movies,  classic movies,  documentaries"
382,Michael Miller,male,36,"ambitious, meticulous, fun-loving, empathetic",student, romantic movies
383,Jane Jones,female,46,practical,writer," classic movies,  documentaries,  action movies,  romantic movies,  comedy movies"
384,Emily Brown,male,36,"independent, ambitious, introspective",engineer, romantic movies
385,Mary Williams,female,67,introspective,actor," action movies,  family-friendly movies"
386,Robert Johnson,male,42,"ambitious, fun-loving",student," romantic movies,  documentaries,  action movies,  comedy movies,  thriller movies"
387,Sarah Martinez,female,27,"fun-loving, adventurous, meticulous",student," classic movies,  documentaries,  action movies,  sci-fi movies"
388,Sarah Jones,male,58,"ambitious, independent",doctor," romantic movies,  classic movies,  sci-fi movies,  thriller movies"
389,Jane Martinez,female,58,"outgoing, analytical",writer," thriller movies,  classic movies,  documentaries,  romantic movies,  comedy movies"
390,James Williams,male,53,"energetic, analytical",student, comedy movies
391,Robert Martinez,female,51,"independent, adventurous, fun-loving, patient",scientist," documentaries,  sci-fi movies,  romantic movies,  thriller movies,  action movies"
392,Emily Johnson,male,44,analytical,musician, family-friendly movies
393,Emily Taylor,female,26,"optimistic, empathetic, independent",artist," family-friendly movies,  documentaries"
394,Jane Smith,male,20,optimistic,musician," family-friendly movies,  documentaries,  action movies,  comedy movies"
395,Mary Brown,female,64,"creative, energetic, patient, optimistic",engineer, comedy movies
396,Linda Miller,male,45,"introspective, independent, energetic, creative",nurse," comedy movies,  action movies,  thriller movies,  sci-fi movies,  family-friendly movies"
397,James Davis,female,35,"energetic, empathetic, meticulous, compassionate, creative",teacher," action movies,  classic movies,  romantic movies,  documentaries"
398,Michael Jones,male,66,"caring, outgoing",photographer, comedy movies
399,James Brown,female,37,compassionate,retired," romantic movies,  family-friendly movies,  sci-fi movies,  action movies,  documentaries"
400,James Johnson,male,51,"empathetic, fun-loving, outgoing, creative, optimistic",farmer," romantic movies,  action movies,  classic movies"
401,Mary Smith,female,34,creative,scientist, classic movies
402,John Davis,male,59,compassionate,artist," family-friendly movies,  thriller movies,  romantic movies,  comedy movies"
403,Jane Jones,female,54,"patient, ambitious",teacher," action movies,  sci-fi movies,  comedy movies,  family-friendly movies"
404,Robert Brown,male,39,"patient, analytical, optimistic, introspective",entrepreneur," sci-fi movies,  family-friendly movies,  action movies"
405,John Smith,female,46,"creative, caring, ambitious, compassionate, fun-loving",actor, comedy movies
406,Jane Miller,male,33,"adventurous, practical, compassionate, patient, empathetic",retired, classic movies
407,Emily Smith,female,60,"optimistic, meticulous, independent, energetic, practical",farmer, documentaries
408,Michael Jones,male,28,"empathetic, patient",entrepreneur," romantic movies,  classic movies"
409,John Brown,female,54,"patient, outgoing",retired," classic movies,  thriller movies,  romantic movies"
410,Robert Brown,male,64,"fun-loving, analytical",retired," sci-fi movies,  thriller movies,  romantic movies,  action movies"
411,Sarah Garcia,female,39,"meticulous, compassionate, creative, independent",entrepreneur," comedy movies,  action movies,  documentaries,  classic movies,  sci-fi movies"
412,James Brown,male,47,"optimistic, compassionate, introspective, outgoing, patient",actor," documentaries,  family-friendly movies,  comedy movies,  action movies,  sci-fi movies"
413,James Davis,female,53,"analytical, introspective",writer, sci-fi movies
414,Linda Garcia,male,61,"optimistic, compassionate, fun-loving, adventurous",writer," action movies,  family-friendly movies,  thriller movies,  comedy movies"
415,Robert Smith,female,29,"ambitious, independent, optimistic, empathetic, introspective",doctor," action movies,  thriller movies"
416,James Miller,male,36,caring,teacher," action movies,  comedy movies,  romantic movies,  documentaries,  thriller movies"
417,Jane Miller,female,68,outgoing,engineer," thriller movies,  classic movies,  documentaries,  action movies,  romantic movies"
418,David Davis,male,66,analytical,doctor," classic movies,  documentaries"
419,John Smith,female,41,"caring, outgoing, creative",writer," classic movies,  documentaries,  romantic movies,  comedy movies,  action movies"
420,Mary Brown,male,45,"independent, analytical, optimistic, empathetic, outgoing",designer," classic movies,  comedy movies,  action movies"
421,James Martinez,female,56,"patient, creative, optimistic",nurse," documentaries,  classic movies"
422,Jane Williams,male,65,"energetic, adventurous, meticulous",teacher, action movies
423,Michael Garcia,female,36,"analytical, meticulous",nurse," action movies,  family-friendly movies"
424,Emily Garcia,male,35,"energetic, independent, adventurous",retired," classic movies,  sci-fi movies,  thriller movies,  documentaries,  comedy movies"
425,David Taylor,female,30,"practical, empathetic, ambitious, independent, caring",photographer, family-friendly movies
426,Sarah Johnson,male,51,practical,lawyer," documentaries,  comedy movies,  family-friendly movies,  thriller movies,  classic movies"
427,Michael Brown,female,52,"patient, energetic, meticulous, independent",lawyer," sci-fi movies,  romantic movies,  comedy movies,  family-friendly movies,  action movies"
428,Emily Johnson,male,45,caring,retired," romantic movies,  comedy movies,  action movies,  classic movies,  sci-fi movies"
429,Sarah Williams,female,30,fun-loving,engineer," classic movies,  action movies,  sci-fi movies,  thriller movies,  comedy movies"
430,Robert Taylor,male,64,"analytical, practical, patient, meticulous",lawyer," family-friendly movies,  documentaries,  thriller movies,  classic movies,  sci-fi movies"
431,Mary Brown,female,23,"fun-loving, meticulous",farmer," family-friendly movies,  thriller movies"
432,John Martinez,male,68,"energetic, practical, compassionate, fun-loving, empathetic",artist, action movies
433,David Jones,female,40,"compassionate, analytical, outgoing",doctor," sci-fi movies,  thriller movies,  documentaries,  classic movies,  action movies"
434,David Jones,male,28,empathetic,actor," comedy movies,  documentaries,  classic movies,  romantic movies,  family-friendly movies"
435,David Johnson,female,62,"outgoing, empathetic",writer," classic movies,  sci-fi movies,  family-friendly movies,  romantic movies"
436,Emily Taylor,male,51,adventurous,entrepreneur, romantic movies
437,Linda Smith,female,29,"outgoing, practical, optimistic",teacher," documentaries,  comedy movies,  romantic movies,  classic movies"
438,Emily Smith,male,51,"patient, compassionate, energetic, independent",designer," romantic movies,  comedy movies,  thriller movies,  family-friendly movies,  classic movies"
439,John Brown,female,34,"practical, independent, meticulous",writer," classic movies,  family-friendly movies,  sci-fi movies,  documentaries"
440,Linda Taylor,male,25,fun-loving,lawyer," sci-fi movies,  family-friendly movies"
441,Robert Taylor,female,45,"practical, ambitious",scientist," family-friendly movies,  documentaries,  comedy movies,  romantic movies,  thriller movies"
442,John Smith,male,23,"patient, energetic, fun-loving, optimistic, practical",doctor," classic movies,  comedy movies,  romantic movies"
443,Emily Taylor,female,29,"practical, caring, analytical, empathetic, outgoing",nurse, thriller movies
444,Jane Williams,male,35,"empathetic, analytical, creative",designer, thriller movies
445,Sarah Taylor,female,30,optimistic,designer," romantic movies,  sci-fi movies,  comedy movies,  thriller movies"
446,Jane Taylor,male,38,"analytical, practical, patient",artist," action movies,  documentaries,  classic movies,  family-friendly movies,  romantic movies"
447,Mary Davis,female,65,outgoing,photographer," classic movies,  family-friendly movies,  comedy movies"
448,David Jones,male,57,"fun-loving, analytical, energetic, compassionate",nurse," documentaries,  family-friendly movies,  comedy movies,  action movies"
449,Linda Miller,female,50,"independent, meticulous, ambitious, introspective, analytical",writer," documentaries,  family-friendly movies,  thriller movies,  comedy movies"
450,Mary Williams,male,38,creative,student," documentaries,  classic movies,  sci-fi movies"
451,Jane Jones,female,41,"creative, independent, optimistic",retired," sci-fi movies,  action movies"
452,Emily Taylor,male,55,"optimistic, fun-loving, creative, meticulous, caring",student," classic movies,  action movies"
453,John Garcia,female,34,creative,actor," sci-fi movies,  documentaries"
454,James Miller,male,62,compassionate,designer," sci-fi movies,  family-friendly movies,  action movies,  documentaries"
455,Jane Jones,female,24,"patient, empathetic, outgoing, caring, meticulous",retired, comedy movies
456,Robert Davis,male,34,"compassionate, optimistic, adventurous, patient",writer," romantic movies,  family-friendly movies,  sci-fi movies,  documentaries"
457,John Martinez,female,66,"outgoing, energetic, optimistic, ambitious, adventurous",photographer, family-friendly movies
458,Emily Martinez,male,38,"independent, analytical",student," comedy movies,  romantic movies,  action movies"
459,Michael Johnson,female,35,introspective,actor," classic movies,  thriller movies,  sci-fi movies"
460,Linda Brown,male,70,"meticulous, independent",musician," classic movies,  action movies,  family-friendly movies,  thriller movies,  documentaries"
461,Emily Smith,female,57,"caring, patient, empathetic",photographer, action movies
462,Jane Brown,male,67,"introspective, optimistic",actor," sci-fi movies,  romantic movies,  comedy movies,  thriller movies"
463,Robert Jones,female,21,"creative, fun-loving",lawyer," action movies,  comedy movies,  thriller movies,  documentaries,  family-friendly movies"
464,James Smith,male,41,"empathetic, compassionate, analytical, introspective",lawyer," romantic movies,  action movies"
465,Robert Davis,female,57,"energetic, adventurous, practical, analytical, patient",writer," action movies,  romantic movies,  documentaries,  family-friendly movies,  thriller movies"
466,John Taylor,male,47,"compassionate, patient, empathetic, energetic",scientist," thriller movies,  sci-fi movies,  action movies,  classic movies,  comedy movies"
467,John Garcia,female,31,"ambitious, empathetic, patient, energetic, introspective",farmer," family-friendly movies,  action movies,  comedy movies,  sci-fi movies"
468,Linda Smith,male,52,"analytical, compassionate, empathetic, patient, fun-loving",student," romantic movies,  thriller movies,  classic movies"
469,Emily Brown,female,51,"practical, meticulous",nurse," classic movies,  family-friendly movies,  action movies"
470,Emily Brown,male,43,"energetic, patient, fun-loving, caring, creative",nurse," family-friendly movies,  action movies,  sci-fi movies,  thriller movies,  documentaries"
471,Mary Smith,female,26,"analytical, energetic, fun-loving, empathetic",photographer, action movies
472,Mary Smith,male,24,"optimistic, practical, meticulous, adventurous, caring",artist," documentaries,  family-friendly movies,  comedy movies"
473,Jane Jones,female,47,adventurous,nurse," sci-fi movies,  classic movies"
474,Mary Garcia,male,46,"fun-loving, empathetic, optimistic",teacher, comedy movies
475,Michael Davis,female,48,"outgoing, compassionate",doctor, action movies
476,Michael Garcia,male,29,"energetic, compassionate, caring",actor," action movies,  romantic movies,  thriller movies"
477,Sarah Smith,female,57,"adventurous, optimistic, fun-loving",nurse, classic movies
478,Linda Taylor,male,37,"optimistic, creative, compassionate, adventurous",entrepreneur," documentaries,  action movies,  romantic movies,  sci-fi movies,  thriller movies"
479,James Williams,female,26,"analytical, independent, adventurous",student," documentaries,  family-friendly movies,  comedy movies,  thriller movies"
480,James Taylor,male,25,"energetic, introspective",writer," sci-fi movies,  documentaries,  action movies,  classic movies,  romantic movies"
481,Mary Garcia,female,68,"independent, adventurous, practical, compassionate, fun-loving",nurse," classic movies,  thriller movies,  romantic movies"
482,Michael Jones,male,66,"ambitious, analytical",engineer," sci-fi movies,  classic movies,  thriller movies,  romantic movies,  action movies"
483,Jane Davis,female,65,ambitious,photographer," sci-fi movies,  romantic movies"
484,Robert Brown,male,33,"patient, fun-loving, empathetic, analytical, adventurous",entrepreneur," comedy movies,  documentaries,  family-friendly movies,  sci-fi movies"
485,Linda Garcia,female,67,practical,writer," romantic movies,  thriller movies,  sci-fi movies"
486,Robert Johnson,male,51,energetic,teacher, sci-fi movies
487,James Taylor,female,48,"caring, ambitious, compassionate, empathetic, patient",engineer," classic movies,  documentaries,  thriller movies,  comedy movies,  romantic movies"
488,Robert Williams,male,63,"optimistic, outgoing, introspective, ambitious, analytical",photographer," action movies,  comedy movies,  classic movies,  documentaries"
489,Emily Johnson,female,39,"outgoing, compassionate, introspective, caring",musician," classic movies,  romantic movies,  comedy movies"
490,John Martinez,male,36,fun-loving,photographer," family-friendly movies,  documentaries,  classic movies,  romantic movies"
491,John Martinez,female,60,"practical, meticulous, outgoing, analytical",retired," classic movies,  family-friendly movies,  action movies,  romantic movies"
492,Robert Miller,male,45,optimistic,writer," documentaries,  thriller movies,  romantic movies,  family-friendly movies"
493,Robert Garcia,female,40,creative,photographer," documentaries,  sci-fi movies"
494,John Brown,male,39,"outgoing, fun-loving",teacher," family-friendly movies,  thriller movies,  sci-fi movies,  comedy movies"
495,Linda Martinez,female,61,"fun-loving, analytical",engineer," family-friendly movies,  sci-fi movies,  classic movies,  action movies"
496,Sarah Taylor,male,21,energetic,actor," action movies,  documentaries,  classic movies"
497,John Smith,female,32,"creative, practical, introspective, fun-loving",teacher," action movies,  thriller movies"
498,David Miller,male,69,"ambitious, outgoing, patient",doctor, comedy movies
499,David Brown,female,66,patient,entrepreneur," comedy movies,  action movies"
500,Linda Martinez,male,59,"ambitious, empathetic, analytical, creative",farmer," thriller movies,  comedy movies,  sci-fi movies"
501,Linda Johnson,female,25,"compassionate, practical",farmer, classic movies
502,Robert Miller,male,45,"caring, outgoing, meticulous, introspective",retired," action movies,  family-friendly movies"
503,Robert Garcia,female,50,"creative, fun-loving, meticulous",lawyer," action movies,  comedy movies,  romantic movies,  thriller movies"
504,Jane Jones,male,49,"patient, outgoing, compassionate, introspective, ambitious",doctor," classic movies,  action movies,  documentaries,  sci-fi movies,  thriller movies"
505,David Jones,female,49,"energetic, introspective, compassionate, meticulous",teacher," comedy movies,  documentaries"
506,John Smith,male,37,"meticulous, fun-loving, creative, energetic, independent",retired," thriller movies,  romantic movies,  action movies"
507,James Davis,female,34,"meticulous, independent, introspective, adventurous",retired, action movies
508,Sarah Johnson,male,24,"creative, caring",musician," family-friendly movies,  action movies"
509,John Martinez,female,54,analytical,engineer," classic movies,  documentaries,  comedy movies"
510,Mary Taylor,male,51,"energetic, compassionate",teacher," family-friendly movies,  classic movies,  romantic movies,  documentaries"
511,Linda Williams,female,36,"empathetic, patient, outgoing, energetic, ambitious",actor, classic movies
512,Robert Williams,male,29,"patient, creative, adventurous, introspective, optimistic",engineer," romantic movies,  documentaries,  action movies,  classic movies,  thriller movies"
513,David Garcia,female,47,"introspective, independent",photographer," sci-fi movies,  documentaries,  thriller movies,  family-friendly movies"
514,Emily Williams,male,70,"ambitious, creative, fun-loving, energetic",photographer," documentaries,  family-friendly movies,  thriller movies,  comedy movies,  action movies"
515,James Smith,female,26,"outgoing, energetic, empathetic",lawyer," comedy movies,  family-friendly movies,  documentaries,  action movies"
516,John Williams,male,50,"creative, empathetic, analytical",farmer," family-friendly movies,  comedy movies,  action movies,  romantic movies"
517,Linda Taylor,female,66,"independent, compassionate, introspective",musician," comedy movies,  classic movies,  documentaries,  romantic movies"
518,Emily Martinez,male,25,caring,retired," comedy movies,  action movies,  sci-fi movies,  thriller movies,  family-friendly movies"
519,James Williams,female,38,meticulous,student, classic movies
520,Sarah Martinez,male,58,"adventurous, introspective, independent",farmer, sci-fi movies
521,Emily Miller,female,23,"caring, adventurous",entrepreneur," romantic movies,  comedy movies,  action movies,  thriller movies"
522,Jane Martinez,male,55,"caring, energetic, adventurous, analytical",scientist," action movies,  documentaries,  thriller movies"
523,Jane Brown,female,50,fun-loving,engineer," comedy movies,  documentaries,  action movies"
524,John Martinez,male,63,"optimistic, independent, practical, analytical, adventurous",musician," classic movies,  documentaries,  family-friendly movies"
525,Sarah Williams,female,41,"empathetic, ambitious, caring, introspective, analytical",teacher," classic movies,  romantic movies"
526,Jane Taylor,male,22,"practical, patient, fun-loving, adventurous",musician," sci-fi movies,  classic movies,  action movies"
527,David Martinez,female,65,"fun-loving, analytical, adventurous, caring",student," comedy movies,  family-friendly movies"
528,Michael Taylor,male,22,"creative, fun-loving, adventurous, practical, empathetic",farmer," documentaries,  comedy movies"
529,David Smith,female,42,"caring, fun-loving",musician, classic movies
530,Mary Garcia,male,30,"meticulous, caring, optimistic, compassionate, energetic",musician," sci-fi movies,  classic movies"
531,Mary Martinez,female,41,compassionate,student," family-friendly movies,  sci-fi movies,  romantic movies,  classic movies"
532,Emily Brown,male,24,"fun-loving, analytical, caring, introspective",farmer," classic movies,  documentaries,  comedy movies,  sci-fi movies"
533,Linda Garcia,female,27,"outgoing, adventurous",entrepreneur," sci-fi movies,  action movies"
534,Jane Smith,male,29,independent,teacher," sci-fi movies,  comedy movies,  family-friendly movies"
535,John Johnson,female,26,"practical, outgoing, analytical, adventurous, meticulous",nurse," documentaries,  romantic movies,  sci-fi movies,  thriller movies"
536,Robert Jones,male,32,"caring, fun-loving, meticulous, compassionate",artist," action movies,  thriller movies,  classic movies,  family-friendly movies"
537,Emily Johnson,female,59,compassionate,designer," action movies,  romantic movies,  classic movies,  sci-fi movies"
538,Jane Johnson,male,37,"meticulous, adventurous, practical",engineer," family-friendly movies,  classic movies,  action movies,  comedy movies,  thriller movies"
539,Jane Brown,female,39,"caring, energetic, creative, introspective",student," documentaries,  action movies,  comedy movies,  thriller movies"
540,Jane Brown,male,68,analytical,lawyer, action movies
541,John Jones,female,63,adventurous,writer," documentaries,  classic movies,  romantic movies,  thriller movies"
542,Robert Garcia,male,44,"outgoing, compassionate",farmer," documentaries,  family-friendly movies,  classic movies,  action movies,  romantic movies"
543,James Miller,female,67,energetic,photographer," thriller movies,  sci-fi movies"
544,David Taylor,male,54,"fun-loving, patient",farmer," comedy movies,  action movies,  romantic movies,  family-friendly movies,  classic movies"
545,Mary Garcia,female,66,caring,photographer," thriller movies,  documentaries,  sci-fi movies"
546,James Garcia,male,58,"optimistic, introspective, adventurous, caring",writer," sci-fi movies,  classic movies"
